# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.delayed.project.synchronizer.sync.ms,1705909149209000000,1705909209249000000,300
workspaceModel.sync.entities.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1705909149209000000,1705909209249000000,84
workspaceModel.mutableEntityStorage.referrers.ms,1705909149209000000,1705909209249000000,0
jps.global.get.library.by.name.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1705909149209000000,1705909209249000000,12
workspaceModel.load.cache.from.file.ms,1705909149209000000,1705909209249000000,378
jps.global.initialize.library.bridges.after.loading.ms,1705909149209000000,1705909209249000000,0
jps.module.iml.entities.serializer.load.entities.ms,1705909149209000000,1705909209249000000,132
jps.module.iml.entities.serializer.save.entities.ms,1705909149209000000,1705909209249000000,0
jps.global.initialize.library.bridges.ms,1705909149209000000,1705909209249000000,0
workspaceModel.moduleBridge.before.changed.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1705909149209000000,1705909209249000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1705909149209000000,1705909209249000000,794
jps.facet.change.listener.init.bridge.ms,1705909149209000000,1705909209249000000,0
jps.project.serializers.save.ms,1705909149209000000,1705909209249000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1705909149209000000,1705909209249000000,0
jps.app.storage.content.reader.load.component.ms,1705909149209000000,1705909209249000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1705909149209000000,1705909209249000000,2
